t_s,x_m,x_dot_mps,z_m,z_dot_mps,roll_rad,pitch_rad
1.311639549436796059e+00,2.911254158237169820e-01,1.188989885711868727e-01,4.636522630012181873e-02,-8.533410645167260888e-01,-7.107934661744311766e-01,1.016893792752824978e-17
1.321652065081351690e+00,2.923689515245414539e-01,1.307204414540630300e-01,3.876236494487236839e-02,-6.557853653862144583e-01,-7.222074521182564322e-01,1.089267444287947697e-17
1.331664580725907321e+00,2.937633706615400131e-01,1.486194223528863878e-01,3.338827386866605185e-02,-4.119781758679456618e-01,-7.247422780857778468e-01,1.153415019955727381e-17
1.341677096370463174e+00,2.953573812878353966e-01,1.702324722797774192e-01,3.059467682451302850e-02,-1.434991855924974691e-01,-7.184103455269401639e-01,1.208967769003972507e-17
1.351689612015018804e+00,2.971781024209638189e-01,1.936149528935844077e-01,3.052600202994818282e-02,1.287790880945352545e-01,-7.034173292563790092e-01,1.256974202379343902e-17
1.361702127659574435e+00,2.992356427544750064e-01,2.173442155849749091e-01,3.312991617364190872e-02,3.882138934702613620e-01,-6.801685198392687370e-01,1.298458124054890530e-17
1.371714643304130288e+00,3.015281157081221020e-01,2.403919643957827812e-01,3.821582953667840982e-02,6.229479904090702291e-01,-6.491433936316810538e-01,1.334306904203940144e-17
1.381727158948685918e+00,3.040446509005929610e-01,2.619942413203519282e-01,4.549501903707826173e-02,8.250708312056229676e-01,-6.108228125986091550e-01,1.365284889651617974e-17
1.391739674593241549e+00,3.067677092595460508e-01,2.815498091301407713e-01,5.460697530228662139e-02,9.869484435480734286e-01,-5.656966506803808858e-01,1.392054120381251552e-17
1.401752190237797180e+00,3.096742338379378512e-01,2.985753260531666120e-01,6.500790031497030719e-02,1.077917799740114591e+00,-5.146538611397312168e-01,1.415187413455508301e-17
1.411764705882353033e+00,3.127368966439648679e-01,3.126707437522945332e-01,7.595226300886658011e-02,1.096899564831198326e+00,-4.590708587638946403e-01,1.435176846664330796e-17
1.421777221526908663e+00,3.159246034836528660e-01,3.235084109245536799e-01,8.677637159664182420e-02,1.056593709986181517e+00,-4.001743141433544149e-01,1.452451419072832382e-17
